"No.","Time","Source","Destination","Protocol","Length","Info"
"76","38.506209","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x552d, seq=1380/25605, ttl=60 (request in 75)"
"77","39.508335","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x562d, seq=1381/25861, ttl=64 (reply in 78)"
"78","39.553674","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x562d, seq=1381/25861, ttl=60 (request in 77)"
"79","40.555381","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x572d, seq=1382/26117, ttl=64 (reply in 80)"
"80","40.611594","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x572d, seq=1382/26117, ttl=60 (request in 79)"
"81","41.612791","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x582d, seq=1383/26373, ttl=64 (no response found!)"
"82","41.621849","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"83","42.034602","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"84","42.623642","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x592d, seq=1384/26629, ttl=64 (no response found!)"
"85","42.632422","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"86","43.633648","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x5a2d, seq=1385/26885, ttl=64 (no response found!)"
"87","43.640719","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"88","44.642485","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x5b2d, seq=1386/27141, ttl=64 (no response found!)"
"89","44.652056","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"90","45.652500","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x5c2d, seq=1387/27397, ttl=64 (no response found!)"
"91","45.661001","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"92","46.485877","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"93","46.661321","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x5d2d, seq=1388/27653, ttl=64 (no response found!)"
"94","46.662298","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"95","47.663110","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x5e2d, seq=1389/27909, ttl=64 (no response found!)"
"96","47.665689","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"97","48.666272","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x5f2d, seq=1390/28165, ttl=64 (no response found!)"
"98","48.667608","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"99","49.669902","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x602d, seq=1391/28421, ttl=64 (no response found!)"
"100","49.680265","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"101","50.680804","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x612d, seq=1392/28677, ttl=64 (no response found!)"
"102","50.691386","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"103","51.693138","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x622d, seq=1393/28933, ttl=64 (no response found!)"
"104","51.694614","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"105","51.982677","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"106","52.696502","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x632d, seq=1394/29189, ttl=64 (no response found!)"
"107","52.705064","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"108","53.706317","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x642d, seq=1395/29445, ttl=64 (no response found!)"
"109","53.709331","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"110","54.710104","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x652d, seq=1396/29701, ttl=64 (no response found!)"
"111","54.712560","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"112","55.714270","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x662d, seq=1397/29957, ttl=64 (no response found!)"
"113","55.722931","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"114","56.488294","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"115","56.724128","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x672d, seq=1398/30213, ttl=64 (no response found!)"
"116","56.726463","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"117","57.726967","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x682d, seq=1399/30469, ttl=64 (no response found!)"
"118","57.733395","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"119","58.733840","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x692d, seq=1400/30725, ttl=64 (no response found!)"
"120","58.737159","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"121","59.738812","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x6a2d, seq=1401/30981, ttl=64 (no response found!)"
"122","59.739698","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"123","60.740439","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x6b2d, seq=1402/31237, ttl=64 (no response found!)"
"124","60.742506","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"125","61.549801","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"126","61.743911","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x6c2d, seq=1403/31493, ttl=64 (no response found!)"
"127","63.744867","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x6e2d, seq=1404/31749, ttl=64 (no response found!)"
"128","65.746036","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x702d, seq=1405/32005, ttl=64 (reply in 129)"
"129","65.805196","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x702d, seq=1405/32005, ttl=60 (request in 128)"
"130","66.498764","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"131","66.807250","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x712d, seq=1406/32261, ttl=64 (reply in 132)"
"132","66.860598","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x712d, seq=1406/32261, ttl=60 (request in 131)"
"133","67.861606","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x722d, seq=1407/32517, ttl=64 (reply in 134)"
